Link check report for repository root: E:\IVS\Website\ivs\ivs.github.io
index3.html -> /Pages/foreign-teacher-services.html -> ..\..\..\..\Pages\foreign-teacher-services.html -> MISSING
index3.html -> /Pages/rnd-curriculum.html -> ..\..\..\..\Pages\rnd-curriculum.html -> MISSING
index3.html -> /Pages/ivs-academy.html -> ..\..\..\..\Pages\ivs-academy.html -> MISSING
index3.html -> /Pages/ivscelestech.html -> ..\..\..\..\Pages\ivscelestech.html -> MISSING
index3.html -> /apps/ivsapps.html -> ..\..\..\..\apps\ivsapps.html -> MISSING
index3.html -> /Pages/international-partnership.html -> ..\..\..\..\Pages\international-partnership.html -> MISSING
index3.html -> /Pages/litigation_consulting.html -> ..\..\..\..\Pages\litigation_consulting.html -> MISSING
ivs-academy-2.html -> /images/favicon.ico -> ..\..\..\..\images\favicon.ico -> MISSING
ivs-academy-2.html -> /css/style.css -> ..\..\..\..\css\style.css -> MISSING
ivs-academy-2.html -> /css/animations.css -> ..\..\..\..\css\animations.css -> MISSING
ivs-academy-2.html -> /js/loadComponents.js -> ..\..\..\..\js\loadComponents.js -> MISSING
ivs-academy-2.html -> /js/language.js -> ..\..\..\..\js\language.js -> MISSING
ivs-academy-2.html -> /js/dark-mode-toggle.js -> ..\..\..\..\js\dark-mode-toggle.js -> MISSING
ivs-academy-2.html -> /js/advanced-learning-features.js -> ..\..\..\..\js\advanced-learning-features.js -> MISSING
ivs-academy.html -> /images/favicon.ico -> ..\..\..\..\images\favicon.ico -> MISSING
ivs-academy.html -> /images/logo/logo-192.png -> ..\..\..\..\images\logo\logo-192.png -> MISSING
ivs-academy.html -> /manifest.json -> ..\..\..\..\manifest.json -> MISSING
ivs-academy.html -> /css/styles.css -> ..\..\..\..\css\styles.css -> MISSING
ivs-academy.html -> /dist/output.css -> ..\..\..\..\dist\output.css -> MISSING
ivs-academy.html -> /css/style.css -> ..\..\..\..\css\style.css -> MISSING
ivs-academy.html -> /css/animations.css -> ..\..\..\..\css\animations.css -> MISSING
ivs-academy.html -> /videos/ivs-video-background.mp4 -> ..\..\..\..\videos\ivs-video-background.mp4 -> MISSING
ivs-academy.html -> /images/logo/webbannermo.png -> ..\..\..\..\images\logo\webbannermo.png -> MISSING
ivs-academy.html -> /contact.html -> ..\..\..\..\contact.html -> MISSING
ivs-academy.html -> /about.html -> ..\..\..\..\about.html -> MISSING
ivs-academy.html -> /images/logo/webbannermo.png -> ..\..\..\..\images\logo\webbannermo.png -> MISSING
ivs-academy.html -> /Pages/ivslifeminds.html -> ..\..\..\..\Pages\ivslifeminds.html -> MISSING
ivs-academy.html -> /Pages/steambyivs.html -> ..\..\..\..\Pages\steambyivs.html -> MISSING
ivs-academy.html -> /Pages/teachertrain.html -> ..\..\..\..\Pages\teachertrain.html -> MISSING
ivs-academy.html -> /Pages/foreign-teacher-services.html -> ..\..\..\..\Pages\foreign-teacher-services.html -> MISSING
ivs-academy.html -> /Pages/ivscelestech.html -> ..\..\..\..\Pages\ivscelestech.html -> MISSING
ivs-academy.html -> /Pages/ivslanguages.html -> ..\..\..\..\Pages\ivslanguages.html -> MISSING
ivs-academy.html -> /Pages/education.html -> ..\..\..\..\Pages\education.html -> MISSING
ivs-academy.html -> /Pages/ivscelestech-tcnoithat.html -> ..\..\..\..\Pages\ivscelestech-tcnoithat.html -> MISSING
ivs-academy.html -> /Pages/consulting.html -> ..\..\..\..\Pages\consulting.html -> MISSING
ivs-academy.html -> /contact.html -> ..\..\..\..\contact.html -> MISSING
ivs-academy.html -> /js/script.js -> ..\..\..\..\js\script.js -> MISSING
ivs-academy.html -> /js/language.js -> ..\..\..\..\js\language.js -> MISSING
ivs-academy.html -> /js/fabController.js -> ..\..\..\..\js\fabController.js -> MISSING
ivs-academy.html -> /js/loadComponents.js -> ..\..\..\..\js\loadComponents.js -> MISSING
ivs-global-teacher-hub.html -> /images/favicon.ico -> ..\..\..\..\images\favicon.ico -> MISSING
ivs-global-teacher-hub.html -> /images/logo/logo-192.png -> ..\..\..\..\images\logo\logo-192.png -> MISSING
ivs-global-teacher-hub.html -> /manifest.json -> ..\..\..\..\manifest.json -> MISSING
ivs-global-teacher-hub.html -> /css/styles.css -> ..\..\..\..\css\styles.css -> MISSING
ivs-global-teacher-hub.html -> /css/style.css -> ..\..\..\..\css\style.css -> MISSING
ivs-global-teacher-hub.html -> /css/animations.css -> ..\..\..\..\css\animations.css -> MISSING
ivs-global-teacher-hub.html -> /js/loadComponents.js -> ..\..\..\..\js\loadComponents.js -> MISSING
ivs-global-teacher-hub.html -> /js/language.js -> ..\..\..\..\js\language.js -> MISSING
ivs-global-teacher-hub.html -> /js/script.js -> ..\..\..\..\js\script.js -> MISSING
ivs-global-teacher-hub.html -> /js/posts-loader.js -> ..\..\..\..\js\posts-loader.js -> MISSING
layout.html -> /css/styles.css -> ..\..\..\..\css\styles.css -> MISSING
layout.html -> /css/style.css -> ..\..\..\..\css\style.css -> MISSING
layout.html -> /css/animations.css -> ..\..\..\..\css\animations.css -> MISSING
layout.html -> /js/firebase-init.js -> ..\..\..\..\js\firebase-init.js -> MISSING
layout.html -> /js/utils.js -> ..\..\..\..\js\utils.js -> MISSING
layout.html -> /js/language.js -> ..\..\..\..\js\language.js -> MISSING
layout.html -> /js/fabController.js -> ..\..\..\..\js\fabController.js -> MISSING
layout.html -> /js/chatbotController.js -> ..\..\..\..\js\chatbotController.js -> MISSING
layout.html -> /js/loadComponents.js -> ..\..\..\..\js\loadComponents.js -> MISSING
layout.html -> /js/app.js -> ..\..\..\..\js\app.js -> MISSING
learning-materials.html -> /images/favicon.ico -> ..\..\..\..\images\favicon.ico -> MISSING
learning-materials.html -> /css/responsive-enhancements.css -> ..\..\..\..\css\responsive-enhancements.css -> MISSING
learning-materials.html -> /css/style.css -> ..\..\..\..\css\style.css -> MISSING
learning-materials.html -> /css/animations.css -> ..\..\..\..\css\animations.css -> MISSING
learning-materials.html -> /js/loadComponents.js -> ..\..\..\..\js\loadComponents.js -> MISSING
learning-materials.html -> /js/language.js -> ..\..\..\..\js\language.js -> MISSING
learning-materials.html -> /js/fabController.js -> ..\..\..\..\js\fabController.js -> MISSING
learning-materials.html -> /js/lazy-loading.js -> ..\..\..\..\js\lazy-loading.js -> MISSING
learning-materials.html -> /js/dark-mode-toggle.js -> ..\..\..\..\js\dark-mode-toggle.js -> MISSING
learning-materials.html -> /js/seo-enhancer.js -> ..\..\..\..\js\seo-enhancer.js -> MISSING
learning-materials.html -> /js/ai-chatbot.js -> ..\..\..\..\js\ai-chatbot.js -> MISSING
learning-materials.html -> /js/interactive-learning.js -> ..\..\..\..\js\interactive-learning.js -> MISSING
learning-materials.html -> /js/security-enhancements.js -> ..\..\..\..\js\security-enhancements.js -> MISSING
learning-materials.html -> /js/analytics-tracking.js -> ..\..\..\..\js\analytics-tracking.js -> MISSING
learning-materials.html -> /js/accessibility-enhancements.js -> ..\..\..\..\js\accessibility-enhancements.js -> MISSING
news-archive.html -> /images/favicon.ico -> ..\..\..\..\images\favicon.ico -> MISSING
news-archive.html -> /images/logo/logo-192.png -> ..\..\..\..\images\logo\logo-192.png -> MISSING
news-archive.html -> /manifest.json -> ..\..\..\..\manifest.json -> MISSING
news-archive.html -> /css/styles.css -> ..\..\..\..\css\styles.css -> MISSING
news-archive.html -> /dist/output.css -> ..\..\..\..\dist\output.css -> MISSING
news-archive.html -> /css/style.css -> ..\..\..\..\css\style.css -> MISSING
news-archive.html -> /css/animations.css -> ..\..\..\..\css\animations.css -> MISSING
news-archive.html -> /contact.html?subject=NewsletterSubscription -> ..\..\..\..\contact.html?subject=NewsletterSubscription -> MISSING
news-archive.html -> /js/language.js -> ..\..\..\..\js\language.js -> MISSING
news-archive.html -> /js/fabController.js -> ..\..\..\..\js\fabController.js -> MISSING
news-archive.html -> /js/loadComponents.js -> ..\..\..\..\js\loadComponents.js -> MISSING
news-archive.html -> ./js/script.js -> js\script.js -> OK
news-archive.html -> ./js/posts-loader.js -> js\posts-loader.js -> OK
news-archive.html -> ./js/rss-loader.js -> js\rss-loader.js -> OK
profile-company-ivsjsc.html -> /css/style.css -> ..\..\..\..\css\style.css -> MISSING
profile-company-ivsjsc.html -> /css/animations.css -> ..\..\..\..\css\animations.css -> MISSING
profile-company-ivsjsc.html -> public/images/team/nguyen-minh-triet.png -> public\images\team\nguyen-minh-triet.png -> MISSING
profile-company-ivsjsc.html -> /images/team/nguyen-minh-triet.png -> ..\..\..\..\images\team\nguyen-minh-triet.png -> MISSING
profile-company-ivsjsc.html -> public/images/team/rachid-belferar.png -> public\images\team\rachid-belferar.png -> MISSING
profile-company-ivsjsc.html -> /images/team/rachid-belferar.png -> ..\..\..\..\images\team\rachid-belferar.png -> MISSING
profile-company-ivsjsc.html -> public/images/team/salma-mahzoum.png -> public\images\team\salma-mahzoum.png -> MISSING
profile-company-ivsjsc.html -> /images/team/salma-mahzoum.png -> ..\..\..\..\images\team\salma-mahzoum.png -> MISSING
profile-company-ivsjsc.html -> public/images/team/kimball-allen-thomson.png -> public\images\team\kimball-allen-thomson.png -> MISSING
profile-company-ivsjsc.html -> /images/team/kimball-allen-thomson.png -> ..\..\..\..\images\team\kimball-allen-thomson.png -> MISSING
profile-company-ivsjsc.html -> public/images/team/ivsteams.jpg -> public\images\team\ivsteams.jpg -> MISSING
profile-company-ivsjsc.html -> /images/team/ivsteams.jpg -> ..\..\..\..\images\team\ivsteams.jpg -> MISSING
profile-company-ivsjsc.html -> public/images/team/partners&clients.png -> public\images\team\partners&clients.png -> MISSING
profile-company-ivsjsc.html -> /images/team/partners&clients.png -> ..\..\..\..\images\team\partners&clients.png -> MISSING
profile-company-ivsjsc.html -> /js/utils.js -> ..\..\..\..\js\utils.js -> MISSING
profile-company-ivsjsc.html -> /js/animations.js -> ..\..\..\..\js\animations.js -> MISSING
